"age","gender","country","E","N","A","C","O","c_name","region","sub_region","country_code"
17,2,"AE",16,7,34,24,36,"United Arab Emirates","Asia","Western Asia",784
36,1,"AE",23,30,34,32,31,"United Arab Emirates","Asia","Western Asia",784
20,1,"AE",23,16,27,24,19,"United Arab Emirates","Asia","Western Asia",784
31,2,"AE",23,21,37,25,21,"United Arab Emirates","Asia","Western Asia",784
23,1,"AE",7,8,27,25,30,"United Arab Emirates","Asia","Western Asia",784
41,1,"AE",18,16,29,29,26,"United Arab Emirates","Asia","Western Asia",784
15,2,"AE",16,12,25,21,25,"United Arab Emirates","Asia","Western Asia",784
40,2,"AE",24,18,24,30,35,"United Arab Emirates","Asia","Western Asia",784
16,2,"AE",24,25,28,32,28,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",11,24,35,33,25,"United Arab Emirates","Asia","Western Asia",784
48,2,"AE",27,17,34,23,31,"United Arab Emirates","Asia","Western Asia",784
32,2,"AE",28,15,37,23,18,"United Arab Emirates","Asia","Western Asia",784
34,2,"AE",10,18,18,30,15,"United Arab Emirates","Asia","Western Asia",784
35,1,"AE",17,22,30,24,26,"United Arab Emirates","Asia","Western Asia",784
25,2,"AE",23,12,31,30,32,"United Arab Emirates","Asia","Western Asia",784
16,1,"AE",29,22,32,11,34,"United Arab Emirates","Asia","Western Asia",784
19,2,"AE",23,21,30,17,13,"United Arab Emirates","Asia","Western Asia",784
16,2,"AE",26,24,29,10,28,"United Arab Emirates","Asia","Western Asia",784
44,1,"AE",16,23,34,38,28,"United Arab Emirates","Asia","Western Asia",784
58,1,"AE",26,21,28,27,34,"United Arab Emirates","Asia","Western Asia",784
21,2,"AL",24,25,32,35,32,"Albania","Europe","Southern Europe",8
20,2,"AL",15,18,32,26,20,"Albania","Europe","Southern Europe",8
18,2,"AL",11,4,27,8,20,"Albania","Europe","Southern Europe",8
19,1,"AL",4,15,21,19,31,"Albania","Europe","Southern Europe",8
19,2,"AL",20,12,32,29,30,"Albania","Europe","Southern Europe",8
16,2,"AL",28,30,30,9,26,"Albania","Europe","Southern Europe",8
29,2,"AL",34,34,38,29,33,"Albania","Europe","Southern Europe",8
19,2,"AL",21,25,21,21,29,"Albania","Europe","Southern Europe",8
31,2,"AL",25,21,32,27,36,"Albania","Europe","Southern Europe",8
18,2,"AL",8,11,29,20,28,"Albania","Europe","Southern Europe",8
18,2,"AL",23,20,19,9,17,"Albania","Europe","Southern Europe",8
20,2,"AL",20,18,23,17,20,"Albania","Europe","Southern Europe",8
21,2,"AR",19,17,22,17,32,"Argentina","Americas","South America",32
28,1,"AR",33,20,23,20,31,"Argentina","Americas","South America",32
20,2,"AR",21,17,20,19,32,"Argentina","Americas","South America",32
31,1,"AR",11,9,38,20,40,"Argentina","Americas","South America",32
20,2,"AR",35,18,24,17,31,"Argentina","Americas","South America",32
30,2,"AR",26,9,34,23,26,"Argentina","Americas","South America",32
20,1,"AR",16,14,34,8,30,"Argentina","Americas","South America",32
21,1,"AR",1,15,23,22,28,"Argentina","Americas","South America",32
28,1,"AR",9,11,24,26,33,"Argentina","Americas","South America",32
20,2,"AR",15,23,28,20,30,"Argentina","Americas","South America",32
18,1,"AR",29,21,24,14,34,"Argentina","Americas","South America",32
31,2,"AR",24,25,26,14,29,"Argentina","Americas","South America",32
34,2,"AR",31,12,37,24,31,"Argentina","Americas","South America",32
30,1,"AR",25,25,29,23,31,"Argentina","Americas","South America",32
21,1,"AR",31,22,27,21,27,"Argentina","Americas","South America",32
33,1,"AR",22,31,24,34,38,"Argentina","Americas","South America",32
18,2,"AR",32,21,40,19,38,"Argentina","Americas","South America",32
23,2,"AR",25,17,29,17,28,"Argentina","Americas","South America",32
35,2,"AR",27,19,36,25,37,"Argentina","Americas","South America",32
20,2,"AR",28,15,23,21,28,"Argentina","Americas","South America",32
22,2,"AR",22,35,13,21,37,"Argentina","Americas","South America",32
19,2,"AR",34,15,30,9,32,"Argentina","Americas","South America",32
33,2,"AR",7,21,35,15,40,"Argentina","Americas","South America",32
28,2,"AR",6,18,14,10,37,"Argentina","Americas","South America",32
25,1,"AR",28,13,25,18,30,"Argentina","Americas","South America",32
19,1,"AR",18,24,24,18,28,"Argentina","Americas","South America",32
19,2,"AR",21,23,38,26,37,"Argentina","Americas","South America",32
17,2,"AR",5,2,30,22,21,"Argentina","Americas","South America",32
20,1,"AR",15,4,31,28,30,"Argentina","Americas","South America",32
26,2,"AR",6,26,31,9,20,"Argentina","Americas","South America",32
16,2,"AR",4,6,25,13,35,"Argentina","Americas","South America",32
20,2,"AR",11,5,27,18,25,"Argentina","Americas","South America",32
17,2,"AR",15,10,27,12,29,"Argentina","Americas","South America",32
17,2,"AR",22,20,26,18,34,"Argentina","Americas","South America",32
22,1,"AR",29,24,28,25,36,"Argentina","Americas","South America",32
26,1,"AR",28,17,25,36,35,"Argentina","Americas","South America",32
15,2,"AR",7,4,24,24,28,"Argentina","Americas","South America",32
20,2,"AR",18,16,32,27,29,"Argentina","Americas","South America",32
22,2,"AR",29,20,14,6,17,"Argentina","Americas","South America",32
22,2,"AR",14,15,30,15,30,"Argentina","Americas","South America",32
19,1,"AR",6,25,17,18,34,"Argentina","Americas","South America",32
15,1,"AT",16,23,29,15,30,"Austria","Europe","Western Europe",40
24,1,"AT",23,24,29,21,38,"Austria","Europe","Western Europe",40
24,1,"AT",7,31,26,16,23,"Austria","Europe","Western Europe",40
16,2,"AT",19,18,15,19,37,"Austria","Europe","Western Europe",40
17,2,"AT",9,10,19,29,39,"Austria","Europe","Western Europe",40
17,2,"AT",12,23,38,20,32,"Austria","Europe","Western Europe",40
16,1,"AT",4,14,23,10,23,"Austria","Europe","Western Europe",40
18,2,"AT",30,24,26,22,35,"Austria","Europe","Western Europe",40
19,2,"AT",32,8,28,24,37,"Austria","Europe","Western Europe",40
21,3,"AT",34,19,35,17,33,"Austria","Europe","Western Europe",40
26,2,"AT",17,20,34,5,22,"Austria","Europe","Western Europe",40
29,2,"AT",11,9,27,23,34,"Austria","Europe","Western Europe",40
40,2,"AT",29,7,36,24,29,"Austria","Europe","Western Europe",40
25,1,"AT",13,20,28,25,32,"Austria","Europe","Western Europe",40
23,1,"AT",18,23,7,12,37,"Austria","Europe","Western Europe",40
27,1,"AT",17,27,30,26,40,"Austria","Europe","Western Europe",40
41,2,"AT",27,15,34,32,28,"Austria","Europe","Western Europe",40
18,1,"AT",10,11,23,15,28,"Austria","Europe","Western Europe",40
19,2,"AT",12,13,26,20,35,"Austria","Europe","Western Europe",40
44,1,"AT",27,27,30,21,40,"Austria","Europe","Western Europe",40
14,2,"AU",12,16,26,18,33,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",28,38,32,13,21,"Australia","Oceania","Australia and New Zealand",36
26,2,"AU",25,20,32,14,37,"Australia","Oceania","Australia and New Zealand",36
39,2,"AU",28,12,40,33,27,"Australia","Oceania","Australia and New Zealand",36
48,1,"AU",14,23,31,34,31,"Australia","Oceania","Australia and New Zealand",36
26,1,"AU",20,28,28,33,33,"Australia","Oceania","Australia and New Zealand",36
15,1,"AU",15,24,28,21,26,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",32,23,36,38,34,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",9,16,19,15,16,"Australia","Oceania","Australia and New Zealand",36
23,1,"AU",12,26,28,14,30,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",39,26,29,15,30,"Australia","Oceania","Australia and New Zealand",36
28,2,"AU",16,22,38,25,34,"Australia","Oceania","Australia and New Zealand",36
18,1,"AU",18,32,26,15,28,"Australia","Oceania","Australia and New Zealand",36
57,1,"AU",38,25,32,40,40,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",27,28,27,20,28,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",18,10,29,17,20,"Australia","Oceania","Australia and New Zealand",36
23,2,"AU",38,15,40,24,34,"Australia","Oceania","Australia and New Zealand",36
29,1,"AU",22,10,19,23,29,"Australia","Oceania","Australia and New Zealand",36
27,2,"AU",19,27,22,16,21,"Australia","Oceania","Australia and New Zealand",36
45,2,"AU",19,10,28,35,39,"Australia","Oceania","Australia and New Zealand",36
20,1,"AU",19,14,30,17,28,"Australia","Oceania","Australia and New Zealand",36
31,2,"AU",4,6,22,23,38,"Australia","Oceania","Australia and New Zealand",36
36,1,"AU",22,20,36,33,33,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",23,15,37,33,33,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",13,10,23,28,34,"Australia","Oceania","Australia and New Zealand",36
23,2,"AU",18,8,23,20,23,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",25,8,14,7,24,"Australia","Oceania","Australia and New Zealand",36
31,2,"AU",25,3,33,24,30,"Australia","Oceania","Australia and New Zealand",36
46,2,"AU",18,21,36,28,31,"Australia","Oceania","Australia and New Zealand",36
28,1,"AU",14,26,25,14,31,"Australia","Oceania","Australia and New Zealand",36
22,2,"AU",25,22,39,37,34,"Australia","Oceania","Australia and New Zealand",36
27,2,"AU",18,20,28,27,37,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",11,33,2,18,33,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",10,22,24,17,25,"Australia","Oceania","Australia and New Zealand",36
25,2,"AU",12,2,32,25,29,"Australia","Oceania","Australia and New Zealand",36
54,2,"AU",28,24,31,29,31,"Australia","Oceania","Australia and New Zealand",36
34,1,"AU",0,4,28,36,40,"Australia","Oceania","Australia and New Zealand",36
48,1,"AU",5,34,35,34,19,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",35,27,38,10,30,"Australia","Oceania","Australia and New Zealand",36
52,2,"AU",30,25,36,29,14,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",27,28,18,24,33,"Australia","Oceania","Australia and New Zealand",36
34,2,"AU",27,27,29,30,34,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",27,21,22,24,23,"Australia","Oceania","Australia and New Zealand",36
24,2,"AU",30,27,33,21,25,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",6,5,26,15,31,"Australia","Oceania","Australia and New Zealand",36
14,2,"AU",4,7,25,25,22,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",18,19,33,35,25,"Australia","Oceania","Australia and New Zealand",36
25,2,"AU",23,19,39,24,34,"Australia","Oceania","Australia and New Zealand",36
24,2,"AU",31,24,27,12,25,"Australia","Oceania","Australia and New Zealand",36
45,2,"AU",3,17,21,39,14,"Australia","Oceania","Australia and New Zealand",36
37,2,"AU",25,16,35,26,25,"Australia","Oceania","Australia and New Zealand",36
21,1,"AU",20,32,16,11,35,"Australia","Oceania","Australia and New Zealand",36
29,2,"AU",7,11,33,23,13,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",12,19,25,25,25,"Australia","Oceania","Australia and New Zealand",36
17,2,"AU",27,28,36,19,35,"Australia","Oceania","Australia and New Zealand",36
13,2,"AU",22,2,31,10,28,"Australia","Oceania","Australia and New Zealand",36
56,2,"AU",37,28,39,23,40,"Australia","Oceania","Australia and New Zealand",36
15,1,"AU",16,19,12,20,20,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",31,18,10,8,34,"Australia","Oceania","Australia and New Zealand",36
15,1,"AU",12,17,12,19,32,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",23,29,1,22,29,"Australia","Oceania","Australia and New Zealand",36
18,1,"AU",30,30,38,32,34,"Australia","Oceania","Australia and New Zealand",36
41,2,"AU",32,25,35,36,25,"Australia","Oceania","Australia and New Zealand",36
67,2,"AU",27,13,40,35,29,"Australia","Oceania","Australia and New Zealand",36
25,2,"AU",17,8,37,26,14,"Australia","Oceania","Australia and New Zealand",36
26,2,"AU",23,16,22,27,20,"Australia","Oceania","Australia and New Zealand",36
30,1,"AU",36,24,19,13,35,"Australia","Oceania","Australia and New Zealand",36
29,1,"AU",7,18,20,31,27,"Australia","Oceania","Australia and New Zealand",36
27,2,"AU",23,34,30,24,31,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",26,32,27,15,26,"Australia","Oceania","Australia and New Zealand",36
22,1,"AU",26,26,37,35,24,"Australia","Oceania","Australia and New Zealand",36
60,2,"AU",31,33,38,38,27,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",35,14,36,19,35,"Australia","Oceania","Australia and New Zealand",36
15,1,"AU",31,35,22,27,36,"Australia","Oceania","Australia and New Zealand",36
17,2,"AU",22,35,36,17,37,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",15,24,21,22,36,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",20,11,26,22,36,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",28,30,34,5,37,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",17,28,25,21,24,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",2,11,32,17,33,"Australia","Oceania","Australia and New Zealand",36
21,1,"AU",26,13,28,20,37,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",0,4,13,6,18,"Australia","Oceania","Australia and New Zealand",36
38,2,"AU",31,18,24,12,36,"Australia","Oceania","Australia and New Zealand",36
34,1,"AU",21,19,30,16,31,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",7,16,25,21,22,"Australia","Oceania","Australia and New Zealand",36
14,2,"AU",21,20,32,31,27,"Australia","Oceania","Australia and New Zealand",36
21,2,"AU",15,22,34,18,27,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",9,25,36,18,25,"Australia","Oceania","Australia and New Zealand",36
56,2,"AU",24,7,30,26,37,"Australia","Oceania","Australia and New Zealand",36
23,1,"AU",36,28,28,22,39,"Australia","Oceania","Australia and New Zealand",36
20,1,"AU",24,14,24,21,28,"Australia","Oceania","Australia and New Zealand",36
36,2,"AU",19,5,29,16,29,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",15,3,27,38,23,"Australia","Oceania","Australia and New Zealand",36
24,2,"AU",11,8,36,16,31,"Australia","Oceania","Australia and New Zealand",36
13,2,"AU",21,21,26,27,27,"Australia","Oceania","Australia and New Zealand",36
41,2,"AU",15,20,34,29,22,"Australia","Oceania","Australia and New Zealand",36
19,1,"AU",28,19,28,11,31,"Australia","Oceania","Australia and New Zealand",36
19,1,"AU",40,2,36,17,40,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",34,11,34,22,31,"Australia","Oceania","Australia and New Zealand",36
45,1,"AU",17,10,31,26,38,"Australia","Oceania","Australia and New Zealand",36
39,2,"AU",39,7,38,25,34,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",36,19,36,18,19,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",27,20,33,17,32,"Australia","Oceania","Australia and New Zealand",36
33,1,"AU",13,27,35,19,34,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",27,27,24,28,33,"Australia","Oceania","Australia and New Zealand",36
28,1,"AU",15,21,34,12,38,"Australia","Oceania","Australia and New Zealand",36
28,1,"AU",20,8,25,20,32,"Australia","Oceania","Australia and New Zealand",36
21,2,"AU",12,20,35,15,33,"Australia","Oceania","Australia and New Zealand",36
13,2,"AU",13,32,19,13,36,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",19,6,37,21,35,"Australia","Oceania","Australia and New Zealand",36
37,2,"AU",28,21,36,23,19,"Australia","Oceania","Australia and New Zealand",36
24,2,"AU",36,32,36,18,21,"Australia","Oceania","Australia and New Zealand",36
42,2,"AU",11,29,19,34,38,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",20,9,25,11,11,"Australia","Oceania","Australia and New Zealand",36
29,2,"AU",29,21,33,23,37,"Australia","Oceania","Australia and New Zealand",36
36,2,"AU",17,16,33,24,40,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",14,8,29,9,34,"Australia","Oceania","Australia and New Zealand",36
24,1,"AU",21,38,14,22,32,"Australia","Oceania","Australia and New Zealand",36
65,1,"AU",28,26,37,22,33,"Australia","Oceania","Australia and New Zealand",36
21,1,"AU",1,25,16,33,27,"Australia","Oceania","Australia and New Zealand",36
14,1,"AU",29,24,34,16,31,"Australia","Oceania","Australia and New Zealand",36
13,2,"AU",26,15,33,24,33,"Australia","Oceania","Australia and New Zealand",36
56,2,"AU",7,19,30,37,30,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",28,21,36,22,34,"Australia","Oceania","Australia and New Zealand",36
32,1,"AU",16,26,22,21,29,"Australia","Oceania","Australia and New Zealand",36
