"age","gender","country","E","N","A","C","O","c_name","region","sub_region","country_code"
38,1,"GB",20,25,31,21,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",4,8,25,22,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",32,22,35,25,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",17,14,26,29,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,2,"GB",38,25,25,19,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",17,10,27,12,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,1,"GB",32,27,36,7,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
71,1,"GB",17,29,31,28,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",23,14,28,13,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
48,2,"GB",39,12,33,30,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
50,2,"GB",37,27,39,26,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",6,13,25,18,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",21,17,30,20,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",12,32,22,17,40,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",14,10,34,22,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",28,2,35,19,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",38,6,21,20,40,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,1,"GB",17,13,25,15,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",31,16,36,18,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
50,1,"GB",34,37,37,28,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",13,3,30,27,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
46,1,"GB",16,0,33,28,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",35,28,25,19,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
50,2,"GB",30,21,39,22,22,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",19,14,22,25,19,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
35,1,"GB",16,28,36,36,40,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",34,22,33,20,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",33,12,38,20,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
49,2,"GB",29,21,35,29,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
42,2,"GB",6,11,32,23,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,1,"GB",20,14,32,17,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",28,12,32,26,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
42,1,"GB",12,11,21,17,14,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
26,2,"GB",29,11,36,22,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
36,2,"GB",23,14,30,21,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,1,"GB",18,25,24,15,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",28,17,30,27,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",31,20,26,26,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",23,26,38,30,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",23,21,23,15,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
38,1,"GB",13,29,30,25,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
29,1,"GB",1,28,30,26,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",31,29,37,20,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,1,"GB",16,4,18,28,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",27,12,21,18,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,1,"GB",24,8,36,17,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
56,2,"GB",13,17,29,20,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",27,19,35,20,22,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",0,25,6,25,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",0,4,4,4,4,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",25,28,18,27,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",29,15,32,17,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",33,13,31,16,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",30,11,39,18,40,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",12,10,28,17,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
29,2,"GB",16,23,32,26,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",31,18,37,10,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
48,2,"GB",16,24,32,19,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,1,"GB",20,17,29,21,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",34,7,30,24,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",23,17,28,17,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
22,1,"GB",33,12,35,14,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",11,6,17,22,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
35,2,"GB",26,15,35,23,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",14,3,24,24,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
33,2,"GB",24,29,30,30,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",17,11,31,15,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",36,19,38,32,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
31,1,"GB",30,39,38,26,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",25,14,30,27,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",28,22,16,16,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
52,2,"GB",23,10,13,18,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
44,2,"GB",22,22,24,27,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",25,16,19,14,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",31,24,38,11,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",34,34,35,33,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
54,2,"GB",35,34,39,36,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",16,16,22,18,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",15,27,20,20,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,2,"GB",24,30,31,19,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
47,2,"GB",16,8,21,23,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",22,18,10,13,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",17,14,31,27,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
31,2,"GB",40,26,13,29,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,1,"GB",34,19,33,25,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",7,0,38,27,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",30,19,31,24,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,1,"GB",11,17,25,24,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
50,1,"GB",21,21,20,21,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,1,"GB",32,11,35,19,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,2,"GB",36,33,39,27,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,2,"GB",29,27,24,22,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",5,5,26,21,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
33,2,"GB",24,18,24,23,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,1,"GB",28,10,33,14,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",23,24,29,23,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,3,"GB",20,13,26,10,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
26,1,"GB",30,16,32,22,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
48,1,"GB",30,23,37,18,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",8,14,16,29,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",11,7,33,15,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",21,14,21,21,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
62,1,"GB",32,18,31,35,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",23,1,28,31,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",5,2,18,22,19,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
22,2,"GB",12,18,28,18,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",32,26,34,28,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,2,"GB",33,28,37,23,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",12,7,27,22,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",36,18,37,16,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
22,2,"GB",11,4,24,20,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",22,18,24,17,10,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",28,23,23,27,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
55,1,"GB",30,28,30,26,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",36,25,40,31,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,1,"GB",32,25,40,28,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,1,"GB",10,11,22,23,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,1,"GB",26,32,20,22,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",10,18,37,21,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
28,2,"GB",16,30,27,28,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",14,14,29,31,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",14,26,34,21,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
39,2,"GB",26,36,40,40,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",29,12,29,25,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",28,22,32,21,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",9,4,23,19,22,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
28,2,"GB",15,27,31,11,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",28,15,31,16,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",13,23,29,24,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",15,28,25,25,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
33,1,"GB",13,9,37,18,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
40,2,"GB",31,4,18,20,40,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",24,20,26,22,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
37,1,"GB",25,35,35,26,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
31,1,"GB",18,4,40,29,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,2,"GB",28,18,33,34,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",31,21,34,20,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",36,1,34,10,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,1,"GB",6,7,22,18,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
44,2,"GB",7,7,15,18,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",26,17,11,9,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,1,"GB",5,26,21,25,17,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
28,2,"GB",23,6,34,19,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
48,2,"GB",16,21,40,36,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",9,21,15,19,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",11,18,26,27,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,1,"GB",27,24,28,18,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
37,2,"GB",37,24,40,27,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",7,2,25,18,22,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",16,16,31,13,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,1,"GB",29,23,21,19,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",12,4,22,10,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",28,30,34,23,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
34,2,"GB",33,9,32,28,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,1,"GB",19,15,24,31,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",24,11,30,19,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
42,2,"GB",25,18,33,22,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",19,14,39,26,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",6,0,8,11,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",17,20,30,15,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",13,8,28,26,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,2,"GB",4,4,32,4,16,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
26,2,"GB",7,22,25,17,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",10,4,33,15,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,1,"GB",14,21,27,29,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,2,"GB",18,15,33,39,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",33,25,9,24,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,2,"GB",12,21,29,15,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",24,4,27,22,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",6,17,9,14,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",7,33,14,18,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,1,"GB",21,22,28,23,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",13,24,29,27,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
40,2,"GB",7,9,26,14,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",28,17,30,20,18,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
52,2,"GB",27,14,10,16,16,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,2,"GB",27,11,29,26,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
35,1,"GB",40,15,19,36,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",39,3,34,19,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",17,10,14,24,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,1,"GB",14,14,14,23,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,2,"GB",39,31,38,31,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
46,1,"GB",21,26,28,37,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
41,2,"GB",34,38,24,33,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",16,25,22,32,14,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
58,2,"GB",35,8,17,38,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",7,18,20,26,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
35,2,"GB",29,15,30,25,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",19,11,37,12,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",24,20,25,35,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
22,2,"GB",14,23,32,33,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",13,14,30,12,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",31,28,35,33,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
40,2,"GB",11,1,21,21,15,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
13,2,"GB",21,14,29,20,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
28,1,"GB",37,20,38,32,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",19,12,27,28,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,1,"GB",22,13,24,12,39,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",20,0,40,4,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",15,9,26,13,20,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",33,19,32,15,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",18,28,29,27,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
27,2,"GB",28,24,31,31,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",24,22,24,14,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
31,1,"GB",17,11,18,6,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
13,1,"GB",13,4,20,19,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",19,14,18,19,29,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",34,20,27,31,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,1,"GB",19,21,40,21,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",36,9,37,21,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
29,2,"GB",9,21,10,30,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
58,1,"GB",14,27,25,27,23,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",31,8,29,14,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",9,9,14,21,28,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",31,16,35,31,21,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",2,10,37,12,18,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
44,2,"GB",20,17,36,21,24,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",25,17,27,17,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",21,35,30,21,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
22,1,"GB",3,25,14,27,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",28,13,38,21,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
51,2,"GB",23,11,34,17,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
14,2,"GB",33,5,34,9,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
23,2,"GB",10,10,39,20,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
45,2,"GB",15,16,40,35,18,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,2,"GB",11,19,14,30,32,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
41,1,"GB",28,28,40,24,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",30,7,32,17,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
32,2,"GB",35,26,33,26,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,2,"GB",25,6,34,16,22,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,2,"GB",11,8,28,14,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
30,1,"GB",16,24,27,30,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
33,2,"GB",10,28,12,25,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",31,4,26,18,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
26,2,"GB",32,20,40,28,26,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
17,1,"GB",16,4,17,9,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",9,5,23,18,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",27,15,31,22,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
32,2,"GB",13,17,11,19,17,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
25,2,"GB",22,20,37,22,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
57,1,"GB",37,37,32,28,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
43,1,"GB",38,30,27,19,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
31,2,"GB",28,14,28,18,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,2,"GB",24,12,29,16,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,1,"GB",38,21,19,28,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",36,11,40,26,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
18,1,"GB",32,15,34,9,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
40,2,"GB",24,17,29,16,17,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
32,1,"GB",11,31,14,14,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",35,10,36,22,27,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
53,2,"GB",4,3,24,30,38,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
35,2,"GB",23,17,34,24,31,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
19,2,"GB",22,6,17,11,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
21,1,"GB",38,32,21,38,35,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",4,6,33,13,30,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",31,32,31,23,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
65,1,"GB",8,7,23,20,19,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
24,1,"GB",28,37,32,14,33,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
16,1,"GB",20,23,27,20,34,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
15,2,"GB",19,9,33,15,37,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
43,2,"GB",12,12,38,19,25,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,2,"GB",14,5,37,22,14,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
20,1,"GB",13,7,27,14,36,"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",826
